"","Раздел","Категория Revit","Семейство","Версия","Описание изменения","Ответственный","Путь"
"26.07.2021","АР","Элементы узла","АСК_Эл. узла_Фартук парапета_Форма 7.1_вар.2","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Фартук парапета_Форма 7.1_вар.2 (v1.0.1).rfa"
"26.07.2021","АР","Элементы узла","АСК_Эл. узла_Фартук_Форма 6.3","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Фартук_Форма 6.3 (v1.0.1).rfa"
"26.07.2021","АР","Элементы узла","АСК_Эл. узла_Фартук_Форма 9.2","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Фартук_Форма 9.2 (v1.0.1).rfa"
"28.07.2021","АР","Элементы узла","АСК_Эл. узла_Лестница пожарная_Без ограждения","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Лестница пожарная_Без ограждения (v1.0.1).rfa"
"05.08.2021","АР","Каркас несущий","АСК_Отлив_Форма 4.3","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Отлив_Форма 4.3 (v1.0.1).rfa"
"06.08.2021","АР","Каркас несущий","АСК_Отлив_Форма 4.6","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Отлив_Форма 4.6 (v1.0.1).rfa"
"06.08.2021","АР","Каркас несущий","АСК_Фартук_Форма 6.2","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Фартук_Форма 6.2 (v1.0.1).rfa"
"10.08.2021","АР","Элементы узла","АСК_Эл. узла_Линия проездов","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Разметка дорожная\АСК_Эл. узла_Линия проездов (v1.0.1).rfa"
"17.08.2021","АР","Элементы узла","АСК_Эл. узла_Компенсатор_Форма 4.7","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Компенсатор_Форма 4.7 (v1.0.1).rfa"
"18.08.2021","АР","Каркас несущий","АСК_Нащельник-компенсатор_Форма 3.2","1.0.3","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Нащельник-компенсатор_Форма 3.2 (v1.0.3).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидроизоляция","1.0.2","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Гидроизоляция (v1.0.2).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидроизоляция по дуге","1.0.3","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Гидроизоляция по дуге (v1.0.3).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДЗ 160.50-6.35_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДЗ 160.50-6.35_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДЗС 160.50-3.35_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДЗС 160.50-3.35_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДПс-0..50-АА_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДПс-0..50-АА_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДР 230.50_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДР 230.50_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДР 230.50_Аквастоп_Угловая","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДР 230.50_Аквастоп_Угловая (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДШКА-0_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДШКА-0_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДШКА-0-УГЛ_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДШКА-0-УГЛ_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДШКА-50-УГЛ_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДШКА-50-УГЛ_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДШН-30_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДШН-30_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Гидрошпонка_ДШН-30-УГЛ_Аквастоп","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Гидрошпонки\АСК_Эл. узла_Гидрошпонка_ДШН-30-УГЛ_Аквастоп (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Компенсатор_Форма 3.7","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Компенсатор_Форма 3.7 (v1.0.1).rfa"
"18.08.2021","АР","Элементы узла","АСК_Эл. узла_Компенсатор_Форма 5.5","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Компенсатор_Форма 5.5 (v1.0.1).rfa"
"20.08.2021","АР","Аннотации","АСК_Марка_Нагрузки","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Аннотации\Марки\Несколько категорий\АСК_Марка_Нагрузки (v1.0.1).rfa"
"10.09.2021","АР","Элементы узла","АСК_Эл. узла_Желоб водосточный_Форма 1.1","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Желоб водосточный_Форма 1.1 (v1.0.1).rfa"
"13.09.2021","АР","Аннотации","АСК_Марка_Подоконник","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Аннотации\Марки\Окна\АСК_Марка_Подоконник (v1.0.1).rfa"
"13.09.2021","АР","Элементы узла","АСК_Эл. узла_Фасад","1.0.2","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Фасад (v1.0.2).rfa"
"13.09.2021","АР","Элементы узла","АСК_Эл. узла_Фасад_Многострочный","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Фасад_Многострочный (v1.0.1).rfa"
